GEO.id,GEOID,GEO.display-label,P003001,HD02_VD01,HD01_VD02,HD02_VD02,P003003,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Householder who is White alone,Margin of Error; Total: - Householder who is White alone,Estimate; Total: - Householder who is Black or African American alone,Margin of Error; Total: - Householder who is Black or African American alone,Estimate; Total: - Householder who is American Indian and Alaska Native alone,Margin of Error; Total: - Householder who is American Indian and Alaska Native alone,Estimate; Total: - Householder who is Asian alone,Margin of Error; Total: - Householder who is Asian alone,Estimate; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Householder who is Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Householder who is Some other race alone,Margin of Error; Total: - Householder who is Some other race alone,Estimate; Total: - Householder who is Two or more races:,Margin of Error; Total: - Householder who is Two or more races:,Estimate; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races including Some other race,"Estimate; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races","Margin of Error; Total: - Householder who is Two or more races: - Householder who is Two races excluding Some other race, and three or more races"
1400000US24510090300,24510090300,"Census Tract 903, Baltimore city, Maryland",1712,121,430,93,1202,132,21,32,0,127,0,127,0,127,59,64,10,18,49,61
1400000US24510090400,24510090400,"Census Tract 904, Baltimore city, Maryland",718,67,71,49,633,88,0,127,0,127,0,127,0,127,14,19,0,127,14,19
1400000US24510090500,24510090500,"Census Tract 905, Baltimore city, Maryland",685,88,145,62,519,104,0,127,14,23,0,127,0,127,7,12,0,127,7,12
1400000US24510090600,24510090600,"Census Tract 906, Baltimore city, Maryland",1007,140,12,17,978,141,0,127,0,127,0,127,0,127,17,27,0,127,17,27
1400000US24510090700,24510090700,"Census Tract 907, Baltimore city, Maryland",1137,120,14,20,1123,118,0,127,0,127,0,127,0,127,0,127,0,127,0,127
1400000US24510090800,24510090800,"Census Tract 908, Baltimore city, Maryland",1085,110,69,60,990,116,12,20,0,127,0,127,0,127,14,23,0,127,14,23
1400000US24510090900,24510090900,"Census Tract 909, Baltimore city, Maryland",1094,106,0,127,1076,107,0,127,0,127,0,127,18,31,0,127,0,127,0,127
1400000US24510100100,24510100100,"Census Tract 1001, Baltimore city, Maryland",862,100,8,13,844,100,10,15,0,127,0,127,0,127,0,127,0,127,0,127
1400000US24510100200,24510100200,"Census Tract 1002, Baltimore city, Maryland",1056,103,0,127,1016,106,15,25,0,127,0,127,18,28,7,12,0,127,7,12
1400000US24510100300,24510100300,"Census Tract 1003, Baltimore city, Maryland",0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127
1400000US24510110100,24510110100,"Census Tract 1101, Baltimore city, Maryland",2131,198,1224,182,518,189,0,127,250,126,0,127,15,24,124,95,36,42,88,114
1400000US24510110200,24510110200,"Census Tract 1102, Baltimore city, Maryland",3109,228,1809,189,870,204,0,127,232,85,11,17,22,33,165,100,0,127,165,100
