GEO.id,GEOID,GEO.display-label,P003001,HD02_VD01,HD01_VD02,HD02_VD02,P003003,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US45007011300,45007011300,"Census Tract 113, Anderson County, South Carolina",7527,584,6079,513,1206,291,73,105,11,18,0,18,125,153,33,35,0,18,33,35
1400000US45007011401,45007011401,"Census Tract 114.01, Anderson County, South Carolina",4145,491,3046,307,996,370,18,22,0,13,60,93,25,40,0,13,0,13,0,13
1400000US45007011402,45007011402,"Census Tract 114.02, Anderson County, South Carolina",3130,319,2572,318,494,180,0,13,0,13,0,13,0,13,64,71,0,13,64,71
1400000US45007011500,45007011500,"Census Tract 115, Anderson County, South Carolina",6555,679,5571,703,880,337,32,50,0,18,0,18,45,73,27,32,16,26,11,18
1400000US45007011600,45007011600,"Census Tract 116, Anderson County, South Carolina",2054,192,1899,188,93,62,0,13,4,6,0,13,0,13,58,36,0,13,58,36
1400000US45007011700,45007011700,"Census Tract 117, Anderson County, South Carolina",5932,535,4986,470,821,278,0,18,0,18,0,18,0,18,125,74,0,18,125,74
1400000US45007011800,45007011800,"Census Tract 118, Anderson County, South Carolina",3932,342,3414,332,424,178,0,13,0,13,0,13,28,50,66,50,0,13,66,50
1400000US45007011901,45007011901,"Census Tract 119.01, Anderson County, South Carolina",5252,451,3348,512,1677,598,69,98,0,18,0,18,0,18,158,172,0,18,158,172
1400000US45007011902,45007011902,"Census Tract 119.02, Anderson County, South Carolina",2885,392,1574,312,1301,265,0,13,0,13,0,13,0,13,10,24,0,13,10,24
1400000US45007012001,45007012001,"Census Tract 120.01, Anderson County, South Carolina",4865,297,3678,305,910,281,0,13,28,39,0,13,0,13,249,166,57,85,192,171
1400000US45007012002,45007012002,"Census Tract 120.02, Anderson County, South Carolina",4616,335,3343,302,1152,211,0,13,0,13,0,13,32,52,89,102,0,13,89,102
1400000US45007012200,45007012200,"Census Tract 122, Anderson County, South Carolina",6419,529,5320,506,983,339,22,26,0,18,0,18,0,18,94,90,0,18,94,90
1400000US45007012300,45007012300,"Census Tract 123, Anderson County, South Carolina",3759,529,1908,383,1714,362,3,4,0,13,0,13,93,94,41,65,0,13,41,65
1400000US45009960100,45009960100,"Census Tract 9601, Bamberg County, South Carolina",6073,463,659,203,5319,461,0,18,15,24,0,18,58,78,22,29,0,18,22,29
1400000US45009960200,45009960200,"Census Tract 9602, Bamberg County, South Carolina",6972,484,3105,295,3763,410,0,18,27,40,0,18,30,30,47,49,0,18,47,49
1400000US45009960300,45009960300,"Census Tract 9603, Bamberg County, South Carolina",1480,254,1069,256,391,177,0,13,7,11,0,13,13,28,0,13,0,13,0,13
1400000US45009960400,45009960400,"Census Tract 9604, Bamberg County, South Carolina",1289,224,863,187,403,126,0,13,23,33,0,13,0,13,0,13,0,13,0,13
1400000US45011970100,45011970100,"Census Tract 9701, Barnwell County, South Carolina",5540,408,3057,397,2448,322,18,24,17,27,0,18,0,18,0,18,0,18,0,18
1400000US45011970200,45011970200,"Census Tract 9702, Barnwell County, South Carolina",4254,367,1348,273,2810,332,0,13,70,96,0,13,26,34,0,13,0,13,0,13
1400000US45011970300,45011970300,"Census Tract 9703, Barnwell County, South Carolina",4256,358,1834,281,2378,383,0,13,6,9,0,13,0,13,38,47,0,13,38,47
