GEO.id,GEOID,GEO.display-label,P003001,HD02_VD01,P003003_1,HD02_VD02,P003003,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone
1400000US47157021141,47157021141,"Census Tract 211.41, Shelby County, Tennessee",6554,690,3935,487,1907,549
1400000US47157021142,47157021142,"Census Tract 211.42, Shelby County, Tennessee",3422,425,2889,455,211,152
1400000US47157021200,47157021200,"Census Tract 212, Shelby County, Tennessee",3505,337,811,136,2543,305
1400000US47157021311,47157021311,"Census Tract 213.11, Shelby County, Tennessee",4544,262,4248,302,296,167
1400000US47157021312,47157021312,"Census Tract 213.12, Shelby County, Tennessee",2218,301,1897,334,213,149
1400000US47157021320,47157021320,"Census Tract 213.20, Shelby County, Tennessee",6330,537,4199,485,1908,528
1400000US47157021331,47157021331,"Census Tract 213.31, Shelby County, Tennessee",3447,253,2532,420,690,269
1400000US47157021333,47157021333,"Census Tract 213.33, Shelby County, Tennessee",4477,510,2690,681,1560,458
1400000US47157021334,47157021334,"Census Tract 213.34, Shelby County, Tennessee",4132,672,1389,318,2263,632
1400000US47157021341,47157021341,"Census Tract 213.41, Shelby County, Tennessee",5250,208,4764,286,122,118
1400000US47157021342,47157021342,"Census Tract 213.42, Shelby County, Tennessee",8554,598,5229,372,2315,532
1400000US47157021351,47157021351,"Census Tract 213.51, Shelby County, Tennessee",3992,323,3455,326,108,134
1400000US47157021352,47157021352,"Census Tract 213.52, Shelby County, Tennessee",6973,290,6429,314,120,112
1400000US47157021353,47157021353,"Census Tract 213.53, Shelby County, Tennessee",9677,342,8429,378,181,124
1400000US47157021410,47157021410,"Census Tract 214.10, Shelby County, Tennessee",2736,201,2465,158,18,27
1400000US47157021420,47157021420,"Census Tract 214.20, Shelby County, Tennessee",3456,247,2998,230,17,26
1400000US47157021430,47157021430,"Census Tract 214.30, Shelby County, Tennessee",4102,334,3547,364,278,178
1400000US47157021510,47157021510,"Census Tract 215.10, Shelby County, Tennessee",7151,538,2226,249,4485,583
1400000US47157021520,47157021520,"Census Tract 215.20, Shelby County, Tennessee",9276,555,4905,480,2528,489
1400000US47157021530,47157021530,"Census Tract 215.30, Shelby County, Tennessee",5178,223,4425,235,283,81
1400000US47157021540,47157021540,"Census Tract 215.40, Shelby County, Tennessee",10581,381,9587,427,254,172
1400000US47157021611,47157021611,"Census Tract 216.11, Shelby County, Tennessee",6191,299,5655,447,186,130
1400000US47157021612,47157021612,"Census Tract 216.12, Shelby County, Tennessee",4917,220,4590,252,96,113
1400000US47157021613,47157021613,"Census Tract 216.13, Shelby County, Tennessee",4463,232,3870,344,361,303
1400000US47157021620,47157021620,"Census Tract 216.20, Shelby County, Tennessee",2614,249,1407,313,1041,196
1400000US47157021710,47157021710,"Census Tract 217.10, Shelby County, Tennessee",2222,388,231,124,1923,404
1400000US47157021721,47157021721,"Census Tract 217.21, Shelby County, Tennessee",4186,873,389,158,3304,836
1400000US47157021724,47157021724,"Census Tract 217.24, Shelby County, Tennessee",2133,431,342,176,1609,339
1400000US47157021725,47157021725,"Census Tract 217.25, Shelby County, Tennessee",3804,501,585,372,3026,538
1400000US47157021726,47157021726,"Census Tract 217.26, Shelby County, Tennessee",3983,551,1245,221,2292,606
1400000US47157021731,47157021731,"Census Tract 217.31, Shelby County, Tennessee",3172,471,330,161,2579,415
1400000US47157021732,47157021732,"Census Tract 217.32, Shelby County, Tennessee",6472,656,633,312,5096,589
1400000US47157021741,47157021741,"Census Tract 217.41, Shelby County, Tennessee",7475,660,1142,326,5561,746
1400000US47157021744,47157021744,"Census Tract 217.44, Shelby County, Tennessee",5691,784,966,351,3870,624
1400000US47157021745,47157021745,"Census Tract 217.45, Shelby County, Tennessee",6959,813,1361,304,5266,807
1400000US47157021746,47157021746,"Census Tract 217.46, Shelby County, Tennessee",4166,541,547,160,3554,564
1400000US47157021747,47157021747,"Census Tract 217.47, Shelby County, Tennessee",4065,678,472,246,3443,650
1400000US47157021751,47157021751,"Census Tract 217.51, Shelby County, Tennessee",6348,509,512,250,5557,480
1400000US47157021752,47157021752,"Census Tract 217.52, Shelby County, Tennessee",4108,508,319,158,3725,523
1400000US47157021753,47157021753,"Census Tract 217.53, Shelby County, Tennessee",3125,356,440,231,2486,352
1400000US47157021754,47157021754,"Census Tract 217.54, Shelby County, Tennessee",4813,418,361,185,3633,426
1400000US47157021900,47157021900,"Census Tract 219, Shelby County, Tennessee",5035,488,55,48,4921,495
1400000US47157022022,47157022022,"Census Tract 220.22, Shelby County, Tennessee",4660,726,76,80,4569,725
1400000US47157022023,47157022023,"Census Tract 220.23, Shelby County, Tennessee",3311,708,83,91,3228,688
